"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","plot_label"
"A_21_P0011280",1.24605855,8.617837975,2.89330269053518,0.0230334360538966,0.0230334360538966,-4.17755472770488,"XLOC_l2_004212","XLOC_l2_004212"
"A_33_P3365228",1.297157975,2.9036672875,2.89284579295773,0.0230485164092674,0.0230485164092674,-4.17764019926168,"SEMA5B","SEMA5B"
"A_23_P43800",0.836417750000003,9.625860375,2.89272168052355,0.0230526146600941,0.0230526146600941,-4.17766341931819,"BOP1","BOP1"
"A_23_P69720",0.990209249999999,14.201075875,2.89251290935266,0.0230595101151556,0.0230595101151556,-4.17770248041305,"ANXA5","ANXA5"
"A_21_P0006375",1.230394025,2.9101601875,2.89157449380047,0.0230905316897943,0.0230905316897943,-4.17787809409582,"C9orf169","C9orf169"
"A_23_P115519",-3.2100594,6.59982555,-2.89150576205632,0.0230928055106873,0.0230928055106873,-4.17789095877251,"LCE3D","LCE3D"
"A_19_P00800283",0.310408200000001,4.448070475,2.89102935683257,0.0231085726965021,0.0231085726965021,-4.17798013732805,"XLOC_009387","XLOC_009387"
"A_21_P0003275",0.453886524999999,5.2105742875,2.89091687156176,0.0231122971833422,0.0231122971833422,-4.17800119572868,"XLOC_002996","XLOC_002996"
"A_21_P0008295",0.797521825,4.8374942875,2.88931916140622,0.0231652671559891,0.0231652671559891,-4.17830039513343,"XLOC_011131","XLOC_011131"
"A_24_P282309",1.984410825,7.0014416375,2.88929219224958,0.023166162380242,0.023166162380242,-4.17830544705283,"MYOF","MYOF"
"A_23_P203957",0.401584049999999,7.981381975,2.88928961532374,0.0231662479215889,0.0231662479215889,-4.17830592977058,"TMTC1","TMTC1"
"A_33_P3618434",1.288723675,6.0266642625,2.88718460642951,0.0232362352645761,0.0232362352645761,-4.17870039533454,"PRKXP1","PRKXP1"
"A_21_P0007323",0.524299425,2.2001492625,2.88631842832058,0.0232650986394581,0.0232650986394581,-4.17886279802121,"XLOC_009385","XLOC_009385"
"A_33_P3220056",-1.371494475,3.2730035125,-2.88625834867803,0.0232671020549051,0.0232671020549051,-4.17887406442439,"LOC730020","LOC730020"
"A_33_P3365202",1.1597662,1.962034725,2.88531127124192,0.0232987073279583,0.0232987073279583,-4.17905169660742,"","A_33_P3365202"
"A_23_P149064",-0.870724324999999,3.7401718625,-2.88511964090281,0.0233051077967457,0.0233051077967457,-4.17908764577565,"PTPRU","PTPRU"
"A_24_P74064",-0.507723099999999,7.074097275,-2.88297311240046,0.0233769287724683,0.0233769287724683,-4.17949049518804,"ZFP161","ZFP161"
"A_21_P0008484",-1.359057675,4.6637519625,-2.88289272124121,0.0233796231174947,0.0233796231174947,-4.17950558859085,"XLOC_011117","XLOC_011117"
"A_33_P3420380",0.466029,3.418328475,2.88146451906209,0.023427544523696,0.023427544523696,-4.17977380514984,"ITIH5","ITIH5"
"A_33_P3282556",-1.730901,6.60646965,-2.88027748881847,0.0234674524821234,0.0234674524821234,-4.1799968337089,"TMEM204","TMEM204"
"A_23_P411162",0.853603150000001,5.764733875,2.87999817735854,0.0234768533392654,0.0234768533392654,-4.18004932667573,"PER2","PER2"
"A_24_P234856",0.739083975,4.8413351125,2.87921163142117,0.0235033476404817,0.0235033476404817,-4.18019717590493,"CAMLG","CAMLG"
"A_21_P0004594",-0.589166624999999,6.3653833375,-2.87914437614863,0.0235056145531173,0.0235056145531173,-4.18020981999183,"LOC100508120","LOC100508120"
"A_24_P169343",0.98365725,8.785061375,2.87834048720332,0.0235327283486966,0.0235327283486966,-4.18036097574737,"C9orf21","C9orf21"
"A_33_P3301410",0.581525250000002,10.952164125,2.87638596606777,0.0235987885226496,0.0235987885226496,-4.18072866646334,"EXOSC4","EXOSC4"
